Title;FonteDeRecurso;PublicoAlvo;Category
Edital Finep/BNDES - Padiq;"FINEP/FNDCT ; Reembolsável ; Cooperativo ICT / Empresa ; Investimento Direto ; Subvenção Econômica";"ICTs ; Empresas";Outros
Edital MCTI/SECIS/FINEP/FNDCT Viver Sem Limite;"FINEP ; FNDCT";"ICTs ; Empresas";Tecnologia
Edital de Seleção Pública MCTI/AEB/FINEP/FNDCT – Subvenção Econômica à Inovação – Transferência de Tecnologia do SGDC – 01/2015;Fundo Nacional de Desenvolvimento Científico e Tecnológico - FNDCT/SUBVENÇÃO ECONÔMICA;Empresas;Tecnologia
Carta Convite MCTI/Finep 01/2014;;;Outros
Chamada Pública MCTI/Finep/CT-Infra - Proinfra – 02/2014 – Equipamentos Multiusuários;CT-Infra;Instituições de Pesquisa;Infraestrutura
Chamada Pública Conjunta Finep - TEKES Projetos de P,D&I Industrial;Cooperação internacional;Empresas;Outros
Programa Finep Inovar Fundos 15ª Chamada Inovar Fundos;;;Outros
Edital de seleção pública conjunta FINEP/BNDES de apoio à inovação tecnológica agrícola no setor sucroenergético - PAISS AGRÍCOLA - 02/2014;;;Outros
Edital de seleção pública conjunta BNDES/FINEP de apoio à inovação tecnológica industrial no setor de petróleo & gás - Inova Petro - 01/2014;;;Outros
Edital de seleção pública de apoio à inovação tecnológica no setor de telecomunicações - Inova Telecom - 01/2013;;;Outros
Edital de seleção pública conjunta MMA/BNDES/FINEP de apoio à inovação tecnológica relacionada ao tema sustentabilidade - Inova Sustentabilidade - 2013;;;Meio Ambiente
Chamada Pública MCTI/SECIS/Finep/FNDCT – Cooperação ICT-Empresa – Tecnologia Assistiva – 01/2013;;;Tecnologia
Edital de chamada para a gestão de fundo nos setores aeroespacial, aeronáutico, defesa e segurança;;;Outros
Carta Convite MCTI/Finep/Embrapa/AT – OEPAS – 01/2013;;;Outros
Chamada pública MCTI/FINEP e MS/SCTIE/DCIIS – 03/2013 - Projetos Cooperativos de P, D&I em equipamentos e dispositivos médicos de interesse industrial - Inova Saúde;;;Saúde
Chamada Pública MCTI/FINEP - Chamada Pública de estudo de avaliação do projeto piloto de implantação da empresa brasileira de pesquisa e inovação industrial (Embrapi);;;Educação
Chamada Pública MCTI/Finep CT-Hidro 01/2013;;;Outros
Chamada Pública MCTI/Finep/MS/SCTIE/DECIIS – CT-Saúde e FNS - Pesquisa em Engenharia Biomédica – 02/2013;;;Saúde
Chamada Pública MCTI/Finep/MS/SCTIE/DECIT – CT-Saúde e FNS - Desenvolvimento de Chamada Inovações para prevenção e/ou tratamento de câncer - 01/2013;;;Saúde
Chamada Pública MCTI/Finep/Ação Transversal – Inova Empresa - PNI/Parques Tecnológicos 02/2013;;;Outros
Finep - Programa Inovar Semente - 6ª Chamada para capitalização de fundos de capital Semente;;;Outros
Finep - Programa Inovar Fundos - 14ª Chamada Inovar Fundos;;;Outros
Finep - Programa de Investimento Direto - FIP Inova Empresa Chamada Pública para Seleção de Administrador para o FIP Inova Empresa;;;Outros
Chamada Pública MCT/Finep/CT-Aquaviário - Cooperação IPCTs-Empresas - Navipeças- 01/2013;;;Outros
